iter	Passed	Remaining
737	4556	26313
738	4558	26285
739	4561	26259
740	4564	26236
741	4566	26204
742	4568	26172
743	4571	26151
744	4577	26144
745	4580	26118
746	4582	26087
747	4583	26057
748	4588	26040
749	4591	26019
750	4593	25990
751	4595	25960
752	4597	25933
753	4603	25923
754	4608	25909
755	4611	25889
756	4613	25861
757	4615	25830
758	4618	25806
759	4623	25796
760	4627	25777
761	4631	25756
762	4633	25729
763	4636	25707
764	4639	25685
765	4641	25656
766	4643	25625
767	4644	25595
768	4648	25575
769	4654	25568
770	4658	25551
771	4661	25529
772	4663	25500
773	4666	25477
774	4671	25469
775	4675	25450
776	4677	25419
777	4678	25389
778	4680	25360
779	4683	25337
780	4687	25321
781	4689	25292
782	4691	25264
783	4692	25235
784	4696	25217
785	4702	25210
786	4705	25189
787	4708	25168
788	4710	25138
789	4712	25111
790	4714	25088
791	4718	25071
792	4720	25043
793	4722	25014
794	4723	24986
795	4725	24959
796	4727	24931
797	4732	24920
798	4736	24902
799	4738	24876
800	4740	24848
801	4743	24827
802	4747	24813
803	4754	24813
804	4760	24806
805	4768	24811
806	4775	24811
807	4780	24803
808	4786	24796
809	4791	24787
810	4800	24797
811	4807	24793
812	4811	24777
813	4815	24765
814	4817	24739
815	4819	24713
816	4821	24686
817	4823	24659
818	4825	24632
819	4828	24612
820	4833	24601
821	4834	24574
822	4836	24547
823	4838	24520
824	4842	24505
825	4848	24502
826	4853	24488
827	4856	24469
828	4858	24444
829	4862	24429
830	4868	24424
831	4870	24397
832	4871	24370
833	4873	24345
834	4876	24323
835	4880	24309
836	4882	24283
837	4884	24257
838	4885	24231
839	4888	24211
840	4892	24196
841	4898	24189
842	4902	24174
843	4904	24149
844	4906	24123
845	4909	24106
846	4913	24089
847	4914	24064
848	4916	24038
849	4918	24013
850	4920	23989
851	4922	23964
852	4926	23948
853	4928	23929
854	4930	23904
855	4932	23880
856	4935	23860
857	4939	23844
858	4944	23837
859	4948	23820
860	4951	23805
861	4953	23780
862	4955	23757
863	4961	23750
864	4965	23737
865	4967	23713
866	4969	23689
867	4972	23669
868	4976	23657
869	4978	23632
870	4980	23608
871	4981	23582
872	4983	23560
873	4986	23542
874	4991	23532
875	4995	23517
876	4999	23501
877	5000	23476
878	5002	23453
879	5006	23437
880	5009	23422
881	5011	23398
882	5013	23375
883	5015	23350
884	5016	23327
885	5018	23304
886	5022	23291
887	5026	23273
888	5027	23250
889	5030	23230
890	5034	23218
891	5040	23212
892	5044	23200
893	5047	23181
894	5049	23161
895	5052	23143
896	5058	23140
897	5062	23127
898	5064	23104
899	5066	23080
900	5070	23069
901	5076	23063
902	5082	23059
903	5090	23066
904	5096	23061
905	5102	23056
906	5109	23055
907	5114	23047
908	5120	23046
909	5125	23037
910	5131	23031
911	5137	23028
912	5144	23027
913	5230	23382
914	5383	24033
915	5399	24073
916	5407	24075
917	5412	24067
918	5418	24062
919	5424	24057
920	5429	24046
921	5437	24047
922	5443	24046
923	5448	24036
924	5456	24040
925	5462	24034
926	5471	24041
927	5498	24126
928	5522	24198
929	5527	24188
930	5545	24237
931	5553	24239
932	5558	24229
933	5564	24224
934	5572	24227
935	5577	24217
936	5586	24222
937	5594	24225
938	5600	24219
939	5608	24225
940	5615	24220
941	5669	24421
942	5687	24468
943	5692	24456
944	5696	24444
945	5702	24438
946	5705	24417
947	5706	24392
948	5708	24370
949	5712	24353
950	5717	24342
951	5719	24320
952	5721	24296
953	5723	24272
954	5726	24254
955	5728	24232
956	5732	24219
957	5734	24196
958	5736	24174
959	5738	24150
960	5740	24125
961	5742	24102
962	5744	24082
963	5748	24066
964	5750	24043
965	5751	24018
966	5753	23996
967	5755	23972
968	5757	23949
969	5759	23927
970	5762	23909
971	5767	23900
972	5770	23883
973	5772	23859
974	5773	23836
975	5778	23825
976	5781	23807
977	5783	23784
978	5787	23769
979	5790	23751
980	5792	23731
981	5797	23721
982	5800	23703
983	5802	23681
984	5804	23659
985	5806	23637
986	5809	23621
987	5813	23605
988	5814	23582
989	5816	23561
990	5818	23538
991	5820	23517
992	5822	23495
993	5825	23479
994	5828	23462
995	5832	23447
996	5834	23425
997	5836	23403
998	5838	23382
999	5841	23365
1000	5844	23350
1001	5846	23327
1002	5848	23305
1003	5850	23285
1004	5852	23265
1005	5854	23244
1006	5858	23230
1007	5863	23221
1008	5866	23204
1009	5868	23182
1010	5870	23160
1011	5872	23141
1012	5876	23129
1013	5878	23109
1014	5880	23087
1015	5882	23066
1016	5884	23045
1017	5886	23024
1018	5888	23006
1019	5892	22993
1020	5894	22972
1021	5896	22950
1022	5899	22935
1023	5901	22915
1024	5904	22898
1025	5908	22886
1026	5910	22864
1027	5912	22843
1028	5914	22823
1029	5916	22802
1030	5918	22782
1031	5922	22771
1032	5924	22752
1033	5926	22732
1034	5929	22715
1035	5931	22694
1036	5933	22673
1037	5935	22656
1038	5939	22642
1039	5941	22622
1040	5943	22602
1041	5944	22581
1042	5946	22561
1043	5948	22541
1044	5951	22522
1045	5955	22510
1046	5960	22505
1047	5963	22487
1048	5965	22467
1049	5967	22451
1050	5971	22438
1051	5973	22418
1052	5975	22399
1053	5977	22379
1054	5980	22361
1055	5982	22342
1056	5984	22326
1057	5989	22315
1058	5991	22296
1059	5993	22276
1060	5994	22256
1061	5996	22236
1062	5999	22218
1063	6003	22209
1064	6005	22189
1065	6007	22171
1066	6009	22151
1067	6011	22131
1068	6012	22111
1069	6015	22095
1070	6020	22086
1071	6021	22065
1072	6023	22046
1073	6025	22026
1074	6027	22008
1075	6029	21989
1076	6033	21978
1077	6036	21963
1078	6039	21945
1079	6041	21927
1080	6042	21907
1081	6045	21889
1082	6048	21877
1083	6054	21873
1084	6058	21859
1085	6060	21841
1086	6062	21822
1087	6067	21815
1088	6069	21797
1089	6071	21779
1090	6073	21760
1091	6075	21741
1092	6076	21722
1093	6082	21716
1094	6089	21717
1095	6097	21718
1096	6104	21718
1097	6109	21712
1098	6116	21710
1099	6121	21703
1100	6126	21695
1101	6133	21695
1102	6137	21685
1103	6141	21673
1104	6147	21668
1105	6149	21650
1106	6150	21630
1107	6152	21612
1108	6154	21593
1109	6156	21574
1110	6158	21555
1111	6161	21543
1112	6167	21538
1113	6170	21525
1114	6172	21507
1115	6174	21490
1116	6180	21485
1117	6182	21468
1118	6184	21450
1119	6186	21432
1120	6188	21414
1121	6190	21396
1122	6193	21382
1123	6197	21370
1124	6199	21353
1125	6201	21335
1126	6203	21317
1127	6205	21299
1128	6207	21282
1129	6211	21272
1130	6213	21256
1131	6215	21238
1132	6217	21221
1133	6219	21204
1134	6221	21187
1135	6224	21171
1136	6227	21158
1137	6229	21141
1138	6231	21125
1139	6233	21107
1140	6235	21090
1141	6237	21072
